timestamp,strategy,n_eligible,n_busy,n_pass_long,n_pass_short,n_score_cut,n_candidates,top_long_blocker,top_long_blocker_n,top_short_blocker,top_short_blocker_n,long_blockers,short_blockers
2026-09-04T19:51:17Z,conservative,9,6,0,0,0,0,pc_24h<,9,,0,pc_24h<=9,
2026-09-04T19:51:17Z,longshort,16,5,2,0,0,2,pc_24h<,10,pc_1h>,16,pc_24h<=10;pc_1h<=4,pc_1h>=16
2026-09-04T19:51:17Z,daytrade,7,5,0,0,0,0,ret_30m<,7,ret_30m>,6,ret_30m<=7,ret_30m>=6;ema_spread>=1
2026-09-04T19:51:17Z,aggressive,34,3,1,0,0,1,pc_24h<,25,,0,pc_24h<=25;pc_1h<=8,
2026-09-04T19:52:28Z,conservative,9,6,0,0,0,0,pc_24h<,9,,0,pc_24h<=9,
2026-09-04T19:52:28Z,longshort,16,5,2,0,0,2,pc_24h<,10,pc_1h>,16,pc_24h<=10;pc_1h<=4,pc_1h>=16
2026-09-04T19:52:28Z,daytrade,7,5,0,0,0,0,ret_30m<,7,ret_30m>,6,ret_30m<=7,ret_30m>=6;ema_spread>=1
2026-09-04T19:52:28Z,aggressive,34,3,1,0,0,1,pc_24h<,25,,0,pc_24h<=25;pc_1h<=8,
2026-09-04T19:53:40Z,conservative,9,6,0,0,0,0,pc_24h<,9,,0,pc_24h<=9,
2026-09-04T19:53:40Z,longshort,16,5,2,0,0,2,pc_24h<,10,pc_1h>,16,pc_24h<=10;pc_1h<=4,pc_1h>=16
2026-09-04T19:53:40Z,daytrade,7,5,0,0,0,0,ret_30m<,7,ret_30m>,6,ret_30m<=7,ret_30m>=6;ema_spread>=1
2026-09-04T19:53:40Z,aggressive,34,3,1,0,0,1,pc_24h<,25,,0,pc_24h<=25;pc_1h<=8,
2026-09-04T19:54:41Z,conservative,9,6,0,0,0,0,pc_24h<,9,,0,pc_24h<=9,
2026-09-04T19:54:41Z,longshort,16,5,2,0,0,2,pc_24h<,10,pc_1h>,16,pc_24h<=10;pc_1h<=4,pc_1h>=16
2026-09-04T19:54:41Z,daytrade,7,5,0,0,0,0,ret_30m<,7,ret_30m>,6,ret_30m<=7,ret_30m>=6;ema_spread>=1
2026-09-04T19:54:41Z,aggressive,34,3,1,0,0,1,pc_24h<,25,,0,pc_24h<=25;pc_1h<=8,
2026-09-04T19:55:53Z,conservative,9,6,0,0,0,0,pc_24h<,9,,0,pc_24h<=9,
2026-09-04T19:55:53Z,longshort,16,5,2,0,0,2,pc_24h<,10,pc_1h>,16,pc_24h<=10;pc_1h<=4,pc_1h>=16
2026-09-04T19:55:53Z,daytrade,7,5,0,0,0,0,ret_30m<,7,ret_30m>,6,ret_30m<=7,ret_30m>=6;ema_spread>=1
2026-09-04T19:55:53Z,aggressive,34,3,1,0,0,1,pc_24h<,25,,0,pc_24h<=25;pc_1h<=8,
2026-09-04T19:57:04Z,conservative,9,6,0,0,0,0,pc_24h<,9,,0,pc_24h<=9,
2026-09-04T19:57:04Z,longshort,16,5,2,0,0,2,pc_24h<,10,pc_1h>,16,pc_24h<=10;pc_1h<=4,pc_1h>=16
2026-09-04T19:57:04Z,daytrade,7,5,0,0,0,0,ret_30m<,7,ret_30m>,6,ret_30m<=7,ret_30m>=6;ema_spread>=1
2026-09-04T19:57:04Z,aggressive,34,3,1,0,0,1,pc_24h<,25,,0,pc_24h<=25;pc_1h<=8,
2026-09-04T19:58:15Z,conservative,9,6,0,0,0,0,pc_24h<,9,,0,pc_24h<=9,
2026-09-04T19:58:15Z,longshort,16,5,2,0,0,2,pc_24h<,10,pc_1h>,16,pc_24h<=10;pc_1h<=4,pc_1h>=16
2026-09-04T19:58:15Z,daytrade,7,5,0,0,0,0,ret_30m<,7,ret_30m>,5,ret_30m<=7,ret_30m>=5;ema_spread>=2
2026-09-04T19:58:15Z,aggressive,34,3,1,0,0,1,pc_24h<,25,,0,pc_24h<=25;pc_1h<=8,
2026-09-04T19:59:25Z,conservative,9,6,0,0,0,0,pc_24h<,9,,0,pc_24h<=9,
2026-09-04T19:59:25Z,longshort,16,5,2,0,0,2,pc_24h<,10,pc_1h>,16,pc_24h<=10;pc_1h<=4,pc_1h>=16
2026-09-04T19:59:25Z,daytrade,7,5,0,0,0,0,ret_30m<,7,ret_30m>,5,ret_30m<=7,ret_30m>=5;ema_spread>=2
2026-09-04T19:59:25Z,aggressive,34,3,1,0,0,1,pc_24h<,25,,0,pc_24h<=25;pc_1h<=8,
2026-09-04T20:04:17Z,conservative,9,6,0,0,0,0,pc_24h<,9,,0,pc_24h<=9,
2026-09-04T20:04:17Z,longshort,16,5,2,0,0,2,pc_24h<,8,pc_1h>,16,pc_24h<=8;pc_1h<=6,pc_1h>=16
2026-09-04T20:04:17Z,daytrade,7,5,0,0,0,0,ret_30m<,7,ret_30m>,6,ret_30m<=7,ret_30m>=6;ema_spread>=1
2026-09-04T20:04:17Z,aggressive,34,3,1,0,0,1,pc_24h<,23,,0,pc_24h<=23;pc_1h<=10,
2026-09-04T20:05:27Z,conservative,9,6,0,0,0,0,pc_24h<,9,,0,pc_24h<=9,
2026-09-04T20:05:27Z,longshort,16,5,2,0,0,2,pc_24h<,8,pc_1h>,16,pc_24h<=8;pc_1h<=6,pc_1h>=16
2026-09-04T20:05:27Z,daytrade,7,5,0,0,0,0,ret_30m<,7,ret_30m>,7,ret_30m<=7,ret_30m>=7
2026-09-04T20:05:27Z,aggressive,34,3,1,0,0,1,pc_24h<,23,,0,pc_24h<=23;pc_1h<=10,
2026-09-04T20:06:39Z,conservative,9,6,0,0,0,0,pc_24h<,9,,0,pc_24h<=9,
2026-09-04T20:06:39Z,longshort,16,5,2,0,0,2,pc_24h<,8,pc_1h>,16,pc_24h<=8;pc_1h<=6,pc_1h>=16
2026-09-04T20:06:39Z,daytrade,7,5,0,0,0,0,ret_30m<,7,ret_30m>,7,ret_30m<=7,ret_30m>=7
2026-09-04T20:06:39Z,aggressive,34,3,1,0,0,1,pc_24h<,23,,0,pc_24h<=23;pc_1h<=10,
2026-09-04T20:07:40Z,conservative,9,6,0,0,0,0,pc_24h<,9,,0,pc_24h<=9,
2026-09-04T20:07:40Z,longshort,16,5,2,0,0,2,pc_24h<,8,pc_1h>,16,pc_24h<=8;pc_1h<=6,pc_1h>=16
2026-09-04T20:07:40Z,daytrade,7,5,0,0,0,0,ret_30m<,7,ret_30m>,7,ret_30m<=7,ret_30m>=7
2026-09-04T20:07:40Z,aggressive,34,3,1,0,0,1,pc_24h<,23,,0,pc_24h<=23;pc_1h<=10,
2026-09-04T20:08:41Z,conservative,9,6,0,0,0,0,pc_24h<,9,,0,pc_24h<=9,
2026-09-04T20:08:41Z,longshort,16,5,2,0,0,2,pc_24h<,8,pc_1h>,16,pc_24h<=8;pc_1h<=6,pc_1h>=16
2026-09-04T20:08:41Z,daytrade,7,5,0,0,0,0,ret_30m<,7,ret_30m>,7,ret_30m<=7,ret_30m>=7
2026-09-04T20:08:41Z,aggressive,34,3,1,0,0,1,pc_24h<,23,,0,pc_24h<=23;pc_1h<=10,
2026-09-04T20:09:51Z,conservative,9,6,0,0,0,0,pc_24h<,9,,0,pc_24h<=9,
2026-09-04T20:09:51Z,longshort,16,5,2,0,0,2,pc_24h<,8,pc_1h>,16,pc_24h<=8;pc_1h<=6,pc_1h>=16
2026-09-04T20:09:51Z,daytrade,7,5,0,0,0,0,ret_30m<,7,ret_30m>,7,ret_30m<=7,ret_30m>=7
2026-09-04T20:09:51Z,aggressive,34,3,1,0,0,1,pc_24h<,23,,0,pc_24h<=23;pc_1h<=10,
2026-09-04T20:11:02Z,conservative,9,6,0,0,0,0,pc_24h<,9,,0,pc_24h<=9,
2026-09-04T20:11:02Z,longshort,16,5,2,0,0,2,pc_24h<,8,pc_1h>,16,pc_24h<=8;pc_1h<=6,pc_1h>=16
2026-09-04T20:11:02Z,daytrade,7,5,0,0,0,0,ret_30m<,6,ret_30m>,7,ret_30m<=6;range_pos<=1,ret_30m>=7
2026-09-04T20:11:02Z,aggressive,34,3,1,0,0,1,pc_24h<,23,,0,pc_24h<=23;pc_1h<=10,
2026-09-04T20:12:14Z,conservative,9,6,0,0,0,0,pc_24h<,9,,0,pc_24h<=9,
2026-09-04T20:12:14Z,longshort,16,5,2,0,0,2,pc_24h<,8,pc_1h>,16,pc_24h<=8;pc_1h<=6,pc_1h>=16
2026-09-04T20:12:14Z,daytrade,7,5,0,0,0,0,ret_30m<,6,ret_30m>,7,ret_30m<=6;range_pos<=1,ret_30m>=7
2026-09-04T20:12:14Z,aggressive,34,3,1,0,0,1,pc_24h<,23,,0,pc_24h<=23;pc_1h<=10,
2026-09-04T20:17:17Z,conservative,9,6,0,0,0,0,pc_24h<,9,,0,pc_24h<=9,
2026-09-04T20:17:17Z,longshort,16,5,3,0,0,3,pc_24h<,7,pc_1h>,16,pc_24h<=7;pc_1h<=6,pc_1h>=16
2026-09-04T20:17:17Z,daytrade,7,5,0,0,0,0,ret_30m<,6,ret_30m>,7,ret_30m<=6;range_pos<=1,ret_30m>=7
2026-09-04T20:17:17Z,aggressive,34,3,2,0,0,2,pc_24h<,22,,0,pc_24h<=22;pc_1h<=10,
2026-09-04T20:18:29Z,conservative,9,6,0,0,0,0,pc_24h<,9,,0,pc_24h<=9,
2026-09-04T20:18:29Z,longshort,16,5,3,0,0,3,pc_24h<,7,pc_1h>,16,pc_24h<=7;pc_1h<=6,pc_1h>=16
2026-09-04T20:18:29Z,daytrade,7,5,0,0,0,0,ret_30m<,7,ret_30m>,7,ret_30m<=7,ret_30m>=7
2026-09-04T20:18:29Z,aggressive,34,3,2,0,0,2,pc_24h<,22,,0,pc_24h<=22;pc_1h<=10,
2026-09-04T20:19:39Z,conservative,9,6,0,0,0,0,pc_24h<,9,,0,pc_24h<=9,
2026-09-04T20:19:39Z,longshort,16,5,3,0,0,3,pc_24h<,7,pc_1h>,16,pc_24h<=7;pc_1h<=6,pc_1h>=16
2026-09-04T20:19:39Z,daytrade,7,5,0,0,0,0,ret_30m<,7,ret_30m>,7,ret_30m<=7,ret_30m>=7
2026-09-04T20:19:39Z,aggressive,34,3,2,0,0,2,pc_24h<,22,,0,pc_24h<=22;pc_1h<=10,
2026-09-04T20:20:42Z,conservative,9,6,0,0,0,0,pc_24h<,9,,0,pc_24h<=9,
2026-09-04T20:20:42Z,longshort,16,5,3,0,0,3,pc_24h<,7,pc_1h>,16,pc_24h<=7;pc_1h<=6,pc_1h>=16
2026-09-04T20:20:42Z,daytrade,7,5,0,0,0,0,ret_30m<,7,ret_30m>,7,ret_30m<=7,ret_30m>=7
2026-09-04T20:20:42Z,aggressive,34,3,2,0,0,2,pc_24h<,22,,0,pc_24h<=22;pc_1h<=10,
2026-09-04T20:21:51Z,conservative,9,6,0,0,0,0,pc_24h<,9,,0,pc_24h<=9,
2026-09-04T20:21:51Z,longshort,16,5,3,0,0,3,pc_24h<,7,pc_1h>,16,pc_24h<=7;pc_1h<=6,pc_1h>=16
2026-09-04T20:21:51Z,daytrade,8,4,0,0,0,0,ret_30m<,7,ret_30m>,8,ret_30m<=7;range_pos<=1,ret_30m>=8
2026-09-04T20:21:51Z,aggressive,34,3,2,0,0,2,pc_24h<,22,,0,pc_24h<=22;pc_1h<=10,
2026-09-04T20:23:02Z,conservative,9,6,0,0,0,0,pc_24h<,9,,0,pc_24h<=9,
2026-09-04T20:23:02Z,longshort,16,5,3,0,0,3,pc_24h<,7,pc_1h>,16,pc_24h<=7;pc_1h<=6,pc_1h>=16
2026-09-04T20:23:02Z,daytrade,8,4,0,1,1,0,ret_30m<,7,ret_30m>,7,ret_30m<=7;range_pos<=1,ret_30m>=7
2026-09-04T20:23:02Z,aggressive,34,3,2,0,0,2,pc_24h<,22,,0,pc_24h<=22;pc_1h<=10,
2026-09-04T20:24:12Z,conservative,9,6,0,0,0,0,pc_24h<,9,,0,pc_24h<=9,
2026-09-04T20:24:12Z,longshort,16,5,3,0,0,3,pc_24h<,7,pc_1h>,16,pc_24h<=7;pc_1h<=6,pc_1h>=16
2026-09-04T20:24:12Z,daytrade,8,4,0,1,1,0,ret_30m<,7,ret_30m>,7,ret_30m<=7;range_pos<=1,ret_30m>=7
2026-09-04T20:24:12Z,aggressive,34,3,2,0,0,2,pc_24h<,22,,0,pc_24h<=22;pc_1h<=10,
2026-09-04T20:25:21Z,conservative,9,6,0,0,0,0,pc_24h<,9,,0,pc_24h<=9,
2026-09-04T20:25:21Z,longshort,16,5,3,0,0,3,pc_24h<,7,pc_1h>,16,pc_24h<=7;pc_1h<=6,pc_1h>=16
2026-09-04T20:25:21Z,daytrade,8,4,0,1,1,0,ret_30m<,7,ret_30m>,7,ret_30m<=7;range_pos<=1,ret_30m>=7
2026-09-04T20:25:21Z,aggressive,34,3,2,0,0,2,pc_24h<,22,,0,pc_24h<=22;pc_1h<=10,
2026-09-04T20:28:34Z,conservative,9,6,0,0,0,0,pc_24h<,9,,0,pc_24h<=9,
2026-09-04T20:28:34Z,longshort,16,5,3,0,0,3,pc_24h<,7,pc_1h>,16,pc_24h<=7;pc_1h<=6,pc_1h>=16
2026-09-04T20:28:34Z,daytrade,8,4,0,1,1,0,ret_30m<,7,ret_30m>,7,ret_30m<=7;range_pos<=1,ret_30m>=7
2026-09-04T20:28:34Z,aggressive,34,3,1,0,0,1,pc_24h<,23,,0,pc_24h<=23;pc_1h<=10,
2026-09-04T20:29:44Z,conservative,9,6,0,0,0,0,pc_24h<,9,,0,pc_24h<=9,
2026-09-04T20:29:44Z,longshort,16,5,3,0,0,3,pc_24h<,7,pc_1h>,16,pc_24h<=7;pc_1h<=6,pc_1h>=16
2026-09-04T20:29:44Z,daytrade,8,4,0,1,1,0,ret_30m<,7,ret_30m>,7,ret_30m<=7;range_pos<=1,ret_30m>=7
2026-09-04T20:29:44Z,aggressive,34,3,1,0,0,1,pc_24h<,23,,0,pc_24h<=23;pc_1h<=10,
2026-09-04T20:30:55Z,conservative,9,6,0,0,0,0,pc_24h<,9,,0,pc_24h<=9,
2026-09-04T20:30:55Z,longshort,16,5,3,0,0,3,pc_24h<,7,pc_1h>,16,pc_24h<=7;pc_1h<=6,pc_1h>=16
2026-09-04T20:30:55Z,daytrade,8,4,0,1,1,0,ret_30m<,7,ret_30m>,7,ret_30m<=7;range_pos<=1,ret_30m>=7
2026-09-04T20:30:55Z,aggressive,34,3,1,0,0,1,pc_24h<,23,,0,pc_24h<=23;pc_1h<=10,
2026-09-04T20:31:55Z,conservative,9,6,0,0,0,0,pc_24h<,9,,0,pc_24h<=9,
2026-09-04T20:31:55Z,longshort,16,5,3,0,0,3,pc_24h<,7,pc_1h>,16,pc_24h<=7;pc_1h<=6,pc_1h>=16
2026-09-04T20:31:55Z,daytrade,8,4,0,1,1,0,ret_30m<,7,ret_30m>,7,ret_30m<=7;range_pos<=1,ret_30m>=7
2026-09-04T20:31:55Z,aggressive,34,3,2,0,0,2,pc_24h<,22,,0,pc_24h<=22;pc_1h<=10,
2026-09-04T20:34:03Z,conservative,9,6,0,0,0,0,pc_24h<,9,,0,pc_24h<=9,
2026-09-04T20:34:03Z,longshort,16,5,3,0,0,3,pc_24h<,7,pc_1h>,16,pc_24h<=7;pc_1h<=6,pc_1h>=16
2026-09-04T20:34:03Z,daytrade,8,4,0,1,1,0,ret_30m<,7,ret_30m>,7,ret_30m<=7;range_pos<=1,ret_30m>=7
2026-09-04T20:34:03Z,aggressive,34,3,2,0,0,2,pc_24h<,22,,0,pc_24h<=22;pc_1h<=10,
2026-09-04T20:35:14Z,conservative,9,6,0,0,0,0,pc_24h<,9,,0,pc_24h<=9,
2026-09-04T20:35:14Z,longshort,16,5,3,0,0,3,pc_24h<,7,pc_1h>,16,pc_24h<=7;pc_1h<=6,pc_1h>=16
2026-09-04T20:35:14Z,daytrade,8,4,0,1,1,0,ret_30m<,7,ret_30m>,6,ret_30m<=7;range_pos<=1,ret_30m>=6;ema_spread>=1
2026-09-04T20:35:14Z,aggressive,34,3,2,0,0,2,pc_24h<,22,,0,pc_24h<=22;pc_1h<=10,
2026-09-04T20:36:25Z,conservative,9,6,0,0,0,0,pc_24h<,9,,0,pc_24h<=9,
2026-09-04T20:36:25Z,longshort,16,5,3,0,0,3,pc_24h<,7,pc_1h>,16,pc_24h<=7;pc_1h<=6,pc_1h>=16
2026-09-04T20:36:25Z,daytrade,8,4,0,1,0,1,ret_30m<,7,ret_30m>,5,ret_30m<=7;range_pos<=1,ret_30m>=5;ema_spread>=2
2026-09-04T20:36:25Z,aggressive,34,3,2,0,0,2,pc_24h<,22,,0,pc_24h<=22;pc_1h<=10,
2026-09-04T20:37:25Z,conservative,9,6,0,0,0,0,pc_24h<,9,,0,pc_24h<=9,
2026-09-04T20:37:25Z,longshort,16,5,3,0,0,3,pc_24h<,7,pc_1h>,16,pc_24h<=7;pc_1h<=6,pc_1h>=16
2026-09-04T20:37:25Z,daytrade,7,5,0,0,0,0,ret_30m<,6,ret_30m>,5,ret_30m<=6;range_pos<=1,ret_30m>=5;ema_spread>=2
2026-09-04T20:37:25Z,aggressive,34,3,1,0,0,1,pc_24h<,23,,0,pc_24h<=23;pc_1h<=10,
2026-09-04T20:38:32Z,conservative,9,6,0,0,0,0,pc_24h<,9,,0,pc_24h<=9,
2026-09-04T20:38:32Z,longshort,16,5,2,0,0,2,pc_24h<,8,pc_1h>,16,pc_24h<=8;pc_1h<=6,pc_1h>=16
2026-09-04T20:38:32Z,daytrade,7,5,0,0,0,0,ret_30m<,6,ret_30m>,5,ret_30m<=6;range_pos<=1,ret_30m>=5;ema_spread>=2
2026-09-04T20:38:32Z,aggressive,34,2,1,0,0,1,pc_24h<,23,,0,pc_24h<=23;pc_1h<=10,
2026-09-04T20:39:43Z,conservative,9,6,0,0,0,0,pc_24h<,9,,0,pc_24h<=9,
2026-09-04T20:39:43Z,longshort,16,5,3,0,0,3,pc_24h<,7,pc_1h>,16,pc_24h<=7;pc_1h<=6,pc_1h>=16
2026-09-04T20:39:43Z,daytrade,7,5,0,0,0,0,ret_30m<,6,ret_30m>,5,ret_30m<=6;range_pos<=1,ret_30m>=5;ema_spread>=2
2026-09-04T20:39:43Z,aggressive,34,2,1,0,0,1,pc_24h<,23,,0,pc_24h<=23;pc_1h<=10,
2026-09-04T20:40:54Z,conservative,9,6,0,0,0,0,pc_24h<,9,,0,pc_24h<=9,
2026-09-04T20:40:54Z,longshort,16,5,3,0,0,3,pc_24h<,7,pc_1h>,16,pc_24h<=7;pc_1h<=6,pc_1h>=16
2026-09-04T20:40:54Z,daytrade,7,5,0,0,0,0,ret_30m<,6,ret_30m>,6,ret_30m<=6;range_pos<=1,ret_30m>=6;ema_spread>=1
2026-09-04T20:40:54Z,aggressive,34,3,1,0,0,1,pc_24h<,23,,0,pc_24h<=23;pc_1h<=10,
2026-09-04T20:42:05Z,conservative,9,6,0,0,0,0,pc_24h<,9,,0,pc_24h<=9,
2026-09-04T20:42:05Z,longshort,16,5,3,0,0,3,pc_24h<,7,pc_1h>,16,pc_24h<=7;pc_1h<=6,pc_1h>=16
2026-09-04T20:42:05Z,daytrade,7,5,0,0,0,0,ret_30m<,7,ret_30m>,7,ret_30m<=7,ret_30m>=7
2026-09-04T20:42:05Z,aggressive,34,3,1,0,0,1,pc_24h<,23,,0,pc_24h<=23;pc_1h<=10,
2026-09-04T20:47:17Z,conservative,9,6,0,0,0,0,pc_24h<,9,,0,pc_24h<=9,
2026-09-04T20:47:17Z,longshort,16,5,4,0,0,4,pc_1h<,6,pc_1h>,16,pc_1h<=6;pc_24h<=6,pc_1h>=16
2026-09-04T20:47:17Z,daytrade,7,5,0,0,0,0,ret_30m<,7,ret_30m>,7,ret_30m<=7,ret_30m>=7
2026-09-04T20:47:17Z,aggressive,34,3,2,0,0,2,pc_24h<,22,,0,pc_24h<=22;pc_1h<=10,
2026-09-04T20:48:28Z,conservative,9,6,0,0,0,0,pc_24h<,9,,0,pc_24h<=9,
2026-09-04T20:48:28Z,longshort,16,5,4,0,0,4,pc_1h<,6,pc_1h>,16,pc_1h<=6;pc_24h<=6,pc_1h>=16
2026-09-04T20:48:28Z,daytrade,7,5,0,0,0,0,ret_30m<,7,ret_30m>,6,ret_30m<=7,ret_30m>=6;ema_spread>=1
2026-09-04T20:48:28Z,aggressive,34,3,2,0,0,2,pc_24h<,22,,0,pc_24h<=22;pc_1h<=10,
2026-09-04T20:49:39Z,conservative,9,6,0,0,0,0,pc_24h<,9,,0,pc_24h<=9,
2026-09-04T20:49:39Z,longshort,16,5,3,0,0,3,pc_24h<,7,pc_1h>,16,pc_24h<=7;pc_1h<=6,pc_1h>=16
2026-09-04T20:49:39Z,daytrade,7,5,0,0,0,0,ret_30m<,6,ret_30m>,6,ret_30m<=6;range_pos<=1,ret_30m>=6;ema_spread>=1
2026-09-04T20:49:39Z,aggressive,34,3,1,0,0,1,pc_24h<,23,,0,pc_24h<=23;pc_1h<=10,
2026-09-04T20:50:40Z,conservative,9,6,0,0,0,0,pc_24h<,9,,0,pc_24h<=9,
2026-09-04T20:50:40Z,longshort,15,5,4,0,0,4,pc_24h<,6,pc_1h>,15,pc_24h<=6;pc_1h<=5,pc_1h>=15
2026-09-04T20:50:40Z,daytrade,7,5,0,0,0,0,ret_30m<,6,ret_30m>,6,ret_30m<=6;range_pos<=1,ret_30m>=6;ema_spread>=1
2026-09-04T20:50:40Z,aggressive,34,3,2,0,0,2,pc_24h<,22,,0,pc_24h<=22;pc_1h<=10,
2026-09-04T20:51:42Z,conservative,9,6,0,0,0,0,pc_24h<,9,,0,pc_24h<=9,
2026-09-04T20:51:42Z,longshort,16,5,4,0,0,4,pc_1h<,6,pc_1h>,16,pc_1h<=6;pc_24h<=6,pc_1h>=16
2026-09-04T20:51:42Z,daytrade,7,5,0,0,0,0,ret_30m<,6,ret_30m>,6,ret_30m<=6;range_pos<=1,ret_30m>=6;ema_spread>=1
