timestamp,strategy,action,side,symbol,name,price,quantity,usd_amount,reason,pnl,pnl_pct,resolved,moon,portfolio_value,cash,hold_hours,score,pattern_bonus,f_pc_1h,f_pc_24h,f_pc_7d,f_pc_14d,f_pc_30d,f_vol_mcap,f_cap_rank,f_ret_30m,f_ret_2h,f_ema_spread,f_rsi14,f_range_pos,f_vol_5m
2026-09-03T19:32:43Z,longshort,BUY,long,BTC,Bitcoin,81525.00000000,0.01839926,1500.00,long momentum entry (score 15.13),,,False,False,10000.00,7000.00,,15.135,0.000,0.3000,5.7030,1.0000,11.7000,27.1000,2.1686,99.6000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2026-09-03T19:32:43Z,longshort,BUY,long,AVAX,Avalanche,7.53000000,199.20318725,1500.00,long momentum entry (score 11.06),,,False,False,10000.00,5500.00,,11.065,0.000,0.3000,5.4467,0.0000,3.7000,12.5000,8.0038,88.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2026-09-03T19:59:41Z,conservative,BUY,long,XMR,Monero,525.95000000,1.90132142,1000.00,long momentum entry (score 49.95),,,False,False,10016.23,4000.00,,49.951,0.000,-0.3000,4.6206,12.8000,25.2000,43.9000,1.4800,94.4000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2026-09-03T20:01:45Z,longshort,BUY,long,XRP,XRP,1.47000000,1020.40816327,1500.00,long momentum entry (score 24.36),,,False,False,10004.70,4000.00,,24.357,0.000,0.5000,9.5795,1.4000,19.6000,36.7000,4.6362,98.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2026-09-03T20:01:45Z,longshort,BUY,long,XMR,Monero,526.34000000,2.84986891,1500.00,long momentum entry (score 23.90),,,False,False,10004.70,2500.00,,23.896,0.000,0.7000,3.4601,12.0000,28.7000,45.8000,1.4663,94.4000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2026-09-03T20:32:55Z,daytrade,BUY,long,XRP,XRP,1.48000000,810.81081081,1200.00,long momentum entry (score 1.56),,,False,False,10000.00,8798.20,,1.565,0.000,0.5000,9.8725,1.4000,19.6000,36.7000,4.6502,98.0000,0.5339,1.3897,0.4539,64.4020,98.9221,0.2002
2026-09-03T20:34:06Z,daytrade,BUY,long,ADA,Cardano,0.22334100,5372.94988381,1200.00,long momentum entry (score 0.64),,,False,False,9998.20,7596.40,,0.641,0.000,-0.2000,12.7339,3.8000,13.7000,16.2000,8.0302,92.4000,0.2154,0.4433,0.2257,59.1205,94.2448,0.1929
2026-09-03T20:54:28Z,daytrade,BUY,long,LINK,Chainlink,11.90000000,100.84033613,1200.00,long momentum entry (score 1.12),,,False,False,9987.44,6394.60,,1.117,0.000,0.3000,6.9124,-0.2000,11.5000,44.1000,5.1530,93.6000,0.4240,0.8220,0.3375,56.3776,99.5536,0.1841
2026-09-03T21:12:28Z,daytrade,BUY,long,BCH,Bitcoin Cash,259.37000000,4.62659521,1200.00,long momentum entry (score 0.82),,,False,False,9988.55,5192.80,,0.825,0.000,-0.3000,6.2003,-4.1000,17.5000,20.7000,3.3346,91.6000,0.5236,0.4060,0.1324,56.9872,97.6419,0.1711
2026-09-03T22:03:42Z,daytrade,SELL,long,XRP,XRP,1.46000000,810.81081081,1182.01,stop-loss -1.35%,-17.99,-1.351,True,False,9974.65,6374.81,1.51,1.565,0.000,0.5000,9.8725,1.4000,19.6000,36.7000,4.6502,98.0000,0.5339,1.3897,0.4539,64.4020,98.9221,0.2002
2026-09-03T22:32:17Z,daytrade,SELL,long,ADA,Cardano,0.21995500,5372.94988381,1180.03,stop-loss -1.52%,-19.97,-1.516,True,False,9941.48,7554.84,1.97,0.641,0.000,-0.2000,12.7339,3.8000,13.7000,16.2000,8.0302,92.4000,0.2154,0.4433,0.2257,59.1205,94.2448,0.1929
2026-09-03T22:44:28Z,daytrade,BUY,long,HYPE,Hyperliquid,85.72000000,13.99906673,1200.00,long momentum entry (score 0.73),,,False,False,9934.99,6353.04,,0.730,0.000,0.2000,5.0347,0.1000,15.8000,54.2000,8.1944,96.0000,0.4110,0.3208,0.1720,51.5357,88.9117,0.1896
2026-09-03T23:49:18Z,daytrade,SELL,long,HYPE,Hyperliquid,87.92000000,13.99906673,1228.95,take-profit 2.57%,28.95,2.566,True,True,9963.74,7581.99,1.08,0.730,0.000,0.2000,5.0347,0.1000,15.8000,54.2000,8.1944,96.0000,0.4110,0.3208,0.1720,51.5357,88.9117,0.1896
2026-09-04T00:11:17Z,daytrade,SELL,long,BCH,Bitcoin Cash,256.11000000,4.62659521,1183.14,stop-loss -1.26%,-16.86,-1.257,True,False,9955.05,8765.13,2.98,0.825,0.000,-0.3000,6.2003,-4.1000,17.5000,20.7000,3.3346,91.6000,0.5236,0.4060,0.1324,56.9872,97.6419,0.1711
2026-09-04T00:35:27Z,daytrade,BUY,long,BNB,BNB,727.04000000,1.65052817,1200.00,long momentum entry (score 0.74),,,False,False,9960.09,7563.33,,0.743,0.000,0.2000,5.8957,1.8000,10.9000,22.2000,1.2445,98.4000,0.3194,0.7725,0.1277,67.8961,99.6517,0.0769
2026-09-04T00:39:53Z,daytrade,BUY,long,ETH,Ethereum,2513.30000000,0.47745991,1200.00,long momentum entry (score 0.68),,,False,False,9961.37,6361.53,,0.676,0.000,0.4000,5.5361,-0.3000,8.4000,33.8000,5.4710,99.2000,0.2882,0.8137,0.0856,72.9627,93.9099,0.0885
2026-09-04T01:53:40Z,daytrade,BUY,long,HYPE,Hyperliquid,87.22000000,13.75831231,1200.00,long momentum entry (score 0.63),,,False,False,9940.46,5159.73,,0.634,0.000,-1.1000,6.9186,2.2000,17.5000,57.2000,8.7580,96.0000,0.4520,-0.0650,0.1703,54.3586,89.5037,0.2606
2026-09-04T02:03:29Z,conservative,SELL,long,XMR,Monero,509.50000000,1.90132142,968.72,stop-loss -3.13%,-31.28,-3.128,True,False,9948.42,4968.72,6.06,49.951,0.000,-0.3000,4.6206,12.8000,25.2000,43.9000,1.4800,94.4000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2026-09-04T02:03:29Z,conservative,BUY,long,HYPE,Hyperliquid,87.07000000,11.48501206,1000.00,long momentum entry (score 46.09),,,False,False,9948.42,3968.72,,46.091,0.000,0.9000,6.6807,3.7000,19.1000,59.5000,8.6315,96.0000,0.5849,-0.1211,0.2144,70.1077,91.4166,0.2627
2026-09-04T02:57:17Z,daytrade,SELL,long,LINK,Chainlink,11.87000000,100.84033613,1195.18,max hold 6h (-0.25%),-4.82,-0.252,True,False,9940.06,6354.91,6.05,1.117,0.000,0.3000,6.9124,-0.2000,11.5000,44.1000,5.1530,93.6000,0.4240,0.8220,0.3375,56.3776,99.5536,0.1841
2026-09-04T02:57:17Z,daytrade,BUY,long,ADA,Cardano,0.22497400,5333.94970085,1200.00,long momentum entry (score 1.60),,,False,False,9940.06,5153.11,,1.600,0.000,1.2000,8.5062,3.8000,8.9000,16.4000,8.3576,92.4000,0.5431,1.5623,0.4253,64.7790,96.0429,0.2681
2026-09-04T04:08:29Z,longshort,SELL,long,XMR,Monero,499.99000000,2.84986891,1424.91,stop-loss -5.01%,-75.09,-5.006,True,False,9853.53,3924.91,8.11,23.896,0.000,0.7000,3.4601,12.0000,28.7000,45.8000,1.4663,94.4000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2026-09-04T04:08:29Z,longshort,BUY,long,HYPE,Hyperliquid,87.07000000,17.22751809,1500.00,long momentum entry (score 21.43),,,False,False,9853.53,2424.91,,21.430,0.000,0.4000,5.6688,4.6000,18.2000,54.8000,8.6464,96.0000,-0.1045,0.1855,0.1261,52.8034,87.3809,0.1648
